2,8,0.1
2,4,0.14142
2,10,0.22361
2,18,0.22361
2,11,0.31623
3,14,0.22361
3,7,0.36056
4,8,0.1
4,18,0.1
4,2,0.14142
4,15,0.2
4,11,0.28284
5,11,0.14142
5,9,0.31623
6,17,0.1
6,9,0.3
6,19,0.31623
6,7,0.36056
7,19,0.22361
7,11,0.31623
7,17,0.31623
7,3,0.36056
8,2,0.1
8,4,0.1
8,10,0.2
8,18,0.2
8,11,0.22361
9,16,0.14142
9,20,0.28284
9,6,0.3
9,5,0.31623
9,21,0.31623
10,12,0.1
10,8,0.2
10,2,0.22361
10,11,0.22361
10,4,0.3
11,5,0.14142
11,8,0.22361
11,10,0.22361
11,4,0.28284
11,12,0.28284
12,10,0.1
12,11,0.28284
12,8,0.3
12,2,0.31623
14,3,0.22361
14,12,0.31623
14,10,0.41231
15,18,0.1
15,4,0.2
15,8,0.3
15,2,0.31623
16,9,0.14142
16,20,0.14142
16,21,0.2
17,6,0.1
17,19,0.22361
17,7,0.31623
17,9,0.4
18,4,0.1
18,15,0.1
18,8,0.2
18,2,0.22361
19,7,0.22361
19,17,0.22361
19,6,0.31623
20,16,0.14142
20,21,0.14142
20,9,0.28284
21,20,0.14142
21,16,0.2
21,9,0.31623
1,14,0.1
22,20,0.1
