2,7,0.2
2,21,0.2
2,27,0.2236
3,23,0.1
3,31,0.1
3,4,0.1414
3,26,0.2236
4,3,0.1414
4,16,0.3162
5,24,0.1414
5,7,0.2236
5,13,0.2828
6,16,0.1
6,28,0.1
6,17,0.2236
7,27,0.1
7,5,0.2236
8,12,0.1414
8,9,0.2
8,19,0.2236
8,5,0.3162
9,29,0.1414
9,8,0.2
9,15,0.2
9,7,0.2236
9,27,0.2828
10,21,0.1414
10,24,0.3606
11,2,0.1
11,7,0.1
11,27,0.1414
11,29,0.2
12,19,0.1
12,8,0.1414
12,17,0.2
12,20,0.2828
13,22,0.1
13,24,0.1414
13,18,0.2236
13,5,0.2828
13,25,0.2828
14,30,0.1
14,26,0.2236
14,31,0.3
14,3,0.3162
15,20,0.1414
15,29,0.3162
16,6,0.1
16,28,0.2
16,17,0.2828
16,23,0.3
16,4,0.3162
17,19,0.1
17,12,0.2
17,6,0.2236
18,25,0.1
18,22,0.1414
18,13,0.2236
19,12,0.1
19,17,0.1
19,8,0.2236
20,15,0.1414
20,12,0.2828
21,10,0.1414
21,11,0.3
21,24,0.3606
22,13,0.1
22,18,0.1414
22,24,0.2236
22,25,0.2236
22,26,0.2828
23,31,0.1414
24,5,0.1414
24,13,0.1414
24,22,0.2236
25,18,0.1
25,22,0.2236
25,13,0.2828
26,30,0.1414
26,3,0.2236
26,14,0.2236
26,22,0.2828
26,31,0.2828
27,7,0.1
27,11,0.1414
27,29,0.1414
27,2,0.2236
27,9,0.2828
28,6,0.1
28,16,0.2
28,17,0.2
29,7,0.1
29,9,0.1414
29,27,0.1414
29,11,0.2
29,5,0.2828
30,14,0.1
30,26,0.1414
30,3,0.3
31,3,0.1
31,4,0.1
31,23,0.1414
31,26,0.2828
31,14,0.3
1,21,0.1414
32,16,0.1
